CountryID,Country Name,Currency,Average Exchange Rate,Year Exchanged,Indicator Name,Amount,USD,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","6,032,930,000,000",124621565792.19,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,"Transport, storage and communication (ISIC I)","4,096,490,000,000",84620739516.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,Exports of goods and services,"17,101,930,000,000",373976164443.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,Imports of goods and services,"20,501,820,000,000",448323201399.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,Gross Domestic Product (GDP),"76,344,720,000,000",1669466870763.18,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,Manufacturing (ISIC D),"13,001,460,000,000",284309206210.37,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","7,422,110,000,000",162302864640.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.73,2010,"Transport, storage and communication (ISIC I)","4,495,500,000,000",98305270063.42,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,Exports of goods and services,"21,439,310,000,000",459380972787.66,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,Imports of goods and services,"27,155,540,000,000",581862866938.08,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,Gross Domestic Product (GDP),"87,363,287,113,728",1871936728385.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,Manufacturing (ISIC D),"14,099,855,710,055",302118185345.08,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","8,603,710,705,593",184352061401.18,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,46.67,2011,"Transport, storage and communication (ISIC I)","7,673,907,484,020",164429129719.73,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,Exports of goods and services,"24,397,070,000,000",456531998502.99,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,Imports of goods and services,"31,084,280,000,000",581666916167.67,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,Gross Domestic Product (GDP),"99,440,131,041,529",1860780895238.19,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,Manufacturing (ISIC D),"15,728,368,965,069",294318281531.98,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","10,345,928,519,295",193598961813.16,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,53.44,2012,"Transport, storage and communication (ISIC I)","8,976,961,627,568",167982066384.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nigeria,Naira,,1990,Exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
